Date,Make,Style,Model,Color,Plate,State,Address,Tow Facility Phone,Inventory Number
09/09/2015,HOND,2D,,SIL,L206064,IL,10300 S. Doty,(773) 568-8495,2772071
09/09/2015,HOND,4D,,WHI,V415335,IL,701 N. Sacramento,(773) 265-7605,6826436
09/09/2015,HOND,4D,,SIL,E282564,IL,701 N. Sacramento,(773) 265-7605,6826438
09/09/2015,HOND,4D,,GRY,A784114,IL,400 E. Lower Wacker,(312) 744-7550,934072
09/09/2015,HOND,4D,,BLK,J244955,IL,400 E. Lower Wacker,(312) 744-7550,934070
09/09/2015,HOND,4D,,WHI,V737022,IL,701 N. Sacramento,(773) 265-7605,6826440
09/09/2015,HOND,4D,,BLK,R890680,IL,400 E. Lower Wacker,(312) 744-7550,934060
09/09/2015,HYUN,4D,,BGE,Y702353,IL,701 N. Sacramento,(773) 265-7605,6826408
09/09/2015,HYUN,4D,,PLE,S628112,IL,701 N. Sacramento,(773) 265-7605,6826427
09/09/2015,HYUN,4D,,BLK,V468878,IL,701 N. Sacramento,(773) 265-7605,6826434
09/09/2015,JAGU,4D,,BLK,N811718,IL,701 N. Sacramento,(773) 265-7605,6826439
09/09/2015,JEEP,LL,,BLK,E689683,IL,701 N. Sacramento,(773) 265-7605,6826443
09/09/2015,JEEP,LL,,BLK,CNC8107,MI,701 N. Sacramento,(773) 265-7605,6826437
09/09/2015,JEEP,LL,TK,BLK,E876196,IL,701 N. Sacramento,(773) 265-7605,6826417
09/09/2015,JEEP,LL,,BLK,V390437,IL,400 E. Lower Wacker,(312) 744-7550,934059
09/09/2015,KIA,4D,,GRY,R868856,IL,701 N. Sacramento,(773) 265-7605,6826445
09/09/2015,LINC,4D,,GRY,CD79706,MI,400 E. Lower Wacker,(312) 744-7550,934071
09/09/2015,MAZD,4D,,GRY,V846023,IL,701 N. Sacramento,(773) 265-7605,6826425
09/09/2015,MAZD,4D,,SIL,H554481,IL,400 E. Lower Wacker,(312) 744-7550,934064
09/09/2015,MAZD,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2772072
09/09/2015,MAZD,LL,,GRY,S924052,IL,701 N. Sacramento,(773) 265-7605,6826441
09/09/2015,MERC,4D,,GLD,S450555,IL,10300 S. Doty,(773) 568-8495,2772074
09/09/2015,MERZ,4D,,SIL,Y734169,IL,701 N. Sacramento,(773) 265-7605,6826413
09/09/2015,MERZ,4D,,GRY,Z339572,IL,701 N. Sacramento,(773) 265-7605,6826421
09/09/2015,MITS,4D,,GRY,R402458,IL,701 N. Sacramento,(773) 265-7605,6826426
09/09/2015,MITS,LL,,BLK,S145025,IL,400 E. Lower Wacker,(312) 744-7550,934048
09/09/2015,MITS,VN,,BLK,P438346,IL,701 N. Sacramento,(773) 265-7605,6826410
09/09/2015,NISS,4D,,BLU,S991167,IL,701 N. Sacramento,(773) 265-7605,6826433
09/09/2015,NISS,4D,,GRY,A194792,IL,400 E. Lower Wacker,(312) 744-7550,934057
09/09/2015,NISS,4D,,GRY,E707758,IL,701 N. Sacramento,(773) 265-7605,6826404
09/09/2015,NISS,4D,,BLK,E328742,IL,400 E. Lower Wacker,(312) 744-7550,934040
09/09/2015,NISS,4D,,BLK,N583720,IL,701 N. Sacramento,(773) 265-7605,6826423
09/09/2015,NISS,4D,,BLU,,IL,701 N. Sacramento,(773) 265-7605,6826412
09/09/2015,PONT,2D,,SIL,V748848,IL,701 N. Sacramento,(773) 265-7605,6826442
09/09/2015,PONT,4D,,GRY,9099748,IL,400 E. Lower Wacker,(312) 744-7550,934041
09/09/2015,PONT,4D,,BLK,Z264532,IL,10300 S. Doty,(773) 568-8495,2772067
09/09/2015,PONT,4D,,MAR,,IL,10300 S. Doty,(773) 568-8495,2772068
09/09/2015,PONT,VN,,TAN,E398531,IL,701 N. Sacramento,(773) 265-7605,6826415
09/09/2015,PORS,2T,,SIL,N807906,IL,701 N. Sacramento,(773) 265-7605,6826403
09/09/2015,SATR,4D,,MAR,183S904,IL,400 E. Lower Wacker,(312) 744-7550,934047
09/09/2015,SATR,4D,,SIL,E130897,IL,701 N. Sacramento,(773) 265-7605,6826432
09/09/2015,TOYT,2D,,GRY,C270244,IL,701 N. Sacramento,(773) 265-7605,6826420
09/09/2015,TOYT,4D,,BLK,R550483,IL,400 E. Lower Wacker,(312) 744-7550,934049
09/09/2015,TOYT,4D,,GRY,V438287,IL,701 N. Sacramento,(773) 265-7605,6826422
09/09/2015,TOYT,4D,,SIL,K854860,IL,400 E. Lower Wacker,(312) 744-7550,934074
09/09/2015,TOYT,4D,,SIL,S446828,IL,400 E. Lower Wacker,(312) 744-7550,934065
09/09/2015,TOYT,4D,,BLU,ZHZ652,IL,10300 S. Doty,(773) 568-8495,2772060
09/09/2015,TOYT,4T,,WHI,Y911917,IL,10300 S. Doty,(773) 568-8495,2772054
09/09/2015,TOYT,LL,,BGE,9687413,IL,10300 S. Doty,(773) 568-8495,2772062
09/09/2015,TOYT,VN,,SIL,R354485,IL,400 E. Lower Wacker,(312) 744-7550,934073
09/09/2015,VOLK,4D,,BLK,K652794,IL,400 E. Lower Wacker,(312) 744-7550,934062
09/09/2015,VOLK,4D,,GRY,BOOKLA-D,IL,400 E. Lower Wacker,(312) 744-7550,934053
09/09/2015,VOLK,4D,,GRY,S745047,IL,701 N. Sacramento,(773) 265-7605,6826418
09/09/2015,VOLV,4D,,BLK,7788316,IL,400 E. Lower Wacker,(312) 744-7550,934051
09/09/2015,VOLV,4D,,WHI,C82754,VA,701 N. Sacramento,(773) 265-7605,6826405
09/09/2015,,4D,,SIL,H983487,IL,10300 S. Doty,(773) 568-8495,2772073
09/09/2015,,MC,,BLU,D13886,IL,10300 S. Doty,(773) 568-8495,2772055
09/08/2015,BMW,4D,,SIL,K411084,IL,10300 S. Doty,(773) 568-8495,2772015
09/08/2015,BUIC,4D,,TAN,R371997,IL,10300 S. Doty,(773) 568-8495,2772020
09/08/2015,BUIC,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2772042
09/08/2015,BUIC,4D,,SIL,V119627,IL,10300 S. Doty,(773) 568-8495,2772027
09/08/2015,BUIC,4D,,TAN,3330621,IL,10300 S. Doty,(773) 568-8495,2772011
09/08/2015,BUIC,LL,,TAN,E697430,IL,10300 S. Doty,(773) 568-8495,2772043
09/08/2015,CADI,4D,,GLD,5854396,IL,10300 S. Doty,(773) 785-9752,1715472
09/08/2015,CADI,4D,,BLK,209S179,IL,10300 S. Doty,(773) 568-8495,2772021
09/08/2015,CADI,4D,,BLK,Y729578,IL,10300 S. Doty,(773) 568-8495,2772019
09/08/2015,CHEV,2D,,SIL,Y800290,IL,10300 S. Doty,(773) 568-8495,2772047
09/08/2015,CHEV,2D,,WHI,E279310,IL,10300 S. Doty,(773) 568-8495,2772014
09/08/2015,CHEV,4D,,BLU,V116831,IL,701 N. Sacramento,(773) 265-7605,6826394
09/08/2015,CHEV,4D,,BLU,Y706895,IL,701 N. Sacramento,(773) 265-7605,6826362
09/08/2015,CHEV,4D,,BLK,Z102622,IL,701 N. Sacramento,(773) 265-7605,6826365
09/08/2015,CHEV,4D,,WHI,V140686,IL,701 N. Sacramento,(773) 265-7605,6826352
09/08/2015,CHEV,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6826397
09/08/2015,CHEV,4D,,SIL,V738881,IL,10300 S. Doty,(773) 568-8495,2772037
09/08/2015,CHEV,LL,TK,BLK,274018,IL,701 N. Sacramento,(773) 265-7605,6826396
09/08/2015,CHEV,LL,TK,RED,L924243,IL,701 N. Sacramento,(773) 265-7605,6826379
09/08/2015,CHEV,LL,,SIL,K158937,IL,10300 S. Doty,(773) 568-8495,2772039
09/08/2015,CHEV,LL,,GRY,V613905,IL,10300 S. Doty,(773) 568-8495,2772029
09/08/2015,CHEV,LL,,BLK,N508396,IL,10300 S. Doty,(773) 568-8495,2772035
09/08/2015,CHEV,PK,,WHI,84259FF,IL,701 N. Sacramento,(773) 265-7605,6826360
09/08/2015,CHEV,VN,TK,GRN,,IL,701 N. Sacramento,(773) 265-7605,6826391
09/08/2015,CHEV,VN,,BGE,S714638,IL,701 N. Sacramento,(773) 265-7605,6826371
09/08/2015,CHEV,VN,TK,RED,E765711,IL,701 N. Sacramento,(773) 265-7605,6826401
09/08/2015,CHRY,4D,,WHI,DBK2093,NC,10300 S. Doty,(773) 568-8495,2772032
09/08/2015,CHRY,VN,,BLU,P919922,IL,10300 S. Doty,(773) 568-8495,2772033
09/08/2015,DODG,4D,,WHI,E718557,IL,10300 S. Doty,(773) 568-8495,2772010
09/08/2015,DODG,LL,,TAN,826NCC,MN,10300 S. Doty,(773) 568-8495,2772041
09/08/2015,DODG,PK,,GRN,1400645,IL,10300 S. Doty,(773) 568-8495,2772018
09/08/2015,DODG,VN,,WHI,S777933,IL,10300 S. Doty,(773) 568-8495,2772004
09/08/2015,DODG,VN,,RED,L635190,IL,10300 S. Doty,(773) 568-8495,2772038
09/08/2015,FORD,2D,,YEL,E526860,IL,701 N. Sacramento,(773) 265-7605,6826374
09/08/2015,FORD,4D,,TAN,643MCV,IN,10300 S. Doty,(773) 568-8495,2772052
09/08/2015,FORD,4D,,BLK,E464126,IL,10300 S. Doty,(773) 568-8495,2772030
09/08/2015,FORD,LL,,BLK,V748665,IL,701 N. Sacramento,(773) 265-7605,6826385
09/08/2015,FORD,LL,,BLK,DL504BG,IL,701 N. Sacramento,(773) 265-7605,6826350
09/08/2015,FORD,PK,,GRN,1458261-,IL,701 N. Sacramento,(773) 265-7605,6826355
09/08/2015,FORD,PK,,WHI,1672061-,IL,701 N. Sacramento,(773) 265-7605,6826364
09/08/2015,FORD,PK,,BLU,1412354,IL,701 N. Sacramento,(773) 265-7605,6826392
09/08/2015,HOND,2D,,TAN,E995635,IL,10300 S. Doty,(773) 568-8495,2772008
09/08/2015,HOND,2D,,GRN,,IL,701 N. Sacramento,(773) 265-7605,6826428
09/08/2015,HOND,2D,,SIL,S900876,IL,701 N. Sacramento,(773) 265-7605,6826358
09/08/2015,HOND,4D,,BLK,E560433,IL,701 N. Sacramento,(773) 265-7605,6826370
09/08/2015,HOND,4D,,BLU,V941296,IL,701 N. Sacramento,(773) 265-7605,6826353
09/08/2015,HOND,4D,,BLU,903R916,IL,10300 S. Doty,(773) 568-8495,2772013
09/08/2015,HOND,4D,,GRN,R494427,IL,701 N. Sacramento,(773) 265-7605,6826399
09/08/2015,HOND,4D,,RED,R313520,IL,701 N. Sacramento,(773) 265-7605,6826389
09/08/2015,HOND,LL,,RED,,,701 N. Sacramento,(773) 265-7605,6826400
09/08/2015,HYUN,4D,,BLU,767R998,IL,701 N. Sacramento,(773) 265-7605,6826359
09/08/2015,HYUN,LL,TK,BLK,V631332,IL,10300 S. Doty,(773) 568-8495,2772051
09/08/2015,JEEP,LL,TK,MAR,333S969,IL,10300 S. Doty,(773) 568-8495,2772016
09/08/2015,JEEP,LL,TK,BLU,S484713,IL,10300 S. Doty,(773) 568-8495,2772049
09/08/2015,JEEP,LL,TK,MAR,EWJ1770,PA,701 N. Sacramento,(773) 265-7605,6826388
09/08/2015,KIA,4D,,WHI,V339776,IL,10300 S. Doty,(773) 568-8495,2772028
09/08/2015,KIA,4D,,TAN,,IL,10300 S. Doty,(773) 568-8495,2772031
09/08/2015,KIA,4D,,BLK,E930379,IL,400 E. Lower Wacker,(312) 744-7550,934035
09/08/2015,LEXS,4D,,BLK,,IL,10300 S. Doty,(773) 568-8495,2772044
09/08/2015,LINC,4D,,WHI,E431508,IL,701 N. Sacramento,(773) 265-7605,6826398
09/08/2015,LINC,LL,TK,SIL,E459591,IL,10300 S. Doty,(773) 568-8495,2772048
09/08/2015,MAZD,LL,,BRO,H163947,IL,10300 S. Doty,(773) 568-8495,2772017
09/08/2015,MERC,4D,,TAN,E450954,IL,701 N. Sacramento,(773) 265-7605,6826351
09/08/2015,MERC,4D,,GRY,V723682,IL,10300 S. Doty,(773) 568-8495,2772040
09/08/2015,MERC,4D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2772046
09/08/2015,MERZ,4D,,WHI,L381656,IL,10300 S. Doty,(773) 568-8495,2772022
09/08/2015,NISS,4D,,GRY,V489307,IL,701 N. Sacramento,(773) 265-7605,6826368
09/08/2015,NISS,4D,,BLK,Z130451,IL,10300 S. Doty,(773) 568-8495,2772045
09/08/2015,NISS,4D,,WHI,E389004,IL,701 N. Sacramento,(773) 265-7605,6826376
09/08/2015,NISS,4D,,GRY,Y846179,IL,10300 S. Doty,(773) 568-8495,2772050
09/08/2015,NISS,4D,,BLK,S449816,IL,701 N. Sacramento,(773) 265-7605,6826383
09/08/2015,OLDS,2D,,WHI,P133078,IL,701 N. Sacramento,(773) 265-7605,6826366
09/08/2015,OLDS,2D,,RED,342S970,IL,701 N. Sacramento,(773) 265-7605,6826372
09/08/2015,PONT,2D,,GRN,Y750546,IL,701 N. Sacramento,(773) 265-7605,6826373
09/08/2015,PONT,4D,,GRY,V145199,IL,400 E. Lower Wacker,(312) 744-7550,934014
09/08/2015,SUZI,4D,,RED,231S388,IL,701 N. Sacramento,(773) 265-7605,6826349
09/08/2015,SUZI,LL,,GRY,307S794,IL,10300 S. Doty,(773) 568-8495,2772007
09/08/2015,TOYT,4D,,BLK,Y829489,IL,701 N. Sacramento,(773) 265-7605,6826357
09/08/2015,TOYT,4D,,RED,E600260,IL,701 N. Sacramento,(773) 265-7605,6826378
09/08/2015,TOYT,4D,,TAN,V755693,IL,10300 S. Doty,(773) 568-8495,2772005
09/08/2015,TOYT,4D,,BLK,Z273636,IL,10300 S. Doty,(773) 568-8495,2772009
09/08/2015,TOYT,4H,,SIL,GNW9841,OH,400 E. Lower Wacker,(312) 744-7550,934022
09/08/2015,TOYT,LL,,SIL,4897382,IL,10300 S. Doty,(773) 568-8495,2772025
09/08/2015,VOLK,4D,,SIL,JJR539,IL,701 N. Sacramento,(773) 265-7605,6826395
09/08/2015,VOLK,4D,,GRY,7488C,IL,701 N. Sacramento,(773) 265-7605,6826367
09/08/2015,VOLK,4D,,GRY,X289124,IL,701 N. Sacramento,(773) 265-7605,6826393
09/08/2015,VOLK,4D,,BLK,FTM8248,OH,400 E. Lower Wacker,(312) 744-7550,933985
09/07/2015,ACUR,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6826328
09/07/2015,AUDI,4D,,BLU,E790751,IL,701 N. Sacramento,(773) 265-7605,6826325
09/07/2015,AUDI,4D,,BLK,E893078,IL,10300 S. Doty,(773) 568-8495,467680
09/07/2015,AUDI,LL,,SIL,E698218,IL,10300 S. Doty,(773) 568-8495,2772002
09/07/2015,BMW,4D,,TAN,E357685,IL,701 N. Sacramento,(773) 265-7605,6826333
09/07/2015,BMW,LL,,GRY,,IL,10300 S. Doty,(773) 568-8495,2771975
09/07/2015,BUIC,4D,,GRY,284S923,IL,701 N. Sacramento,(773) 265-7605,6826318
09/07/2015,CADI,4D,,BLU,E548585,IL,701 N. Sacramento,(773) 265-7605,6826311
09/07/2015,CHEV,2D,,SIL,L303936,IL,701 N. Sacramento,(773) 265-7605,6826343
09/07/2015,CHEV,2D,,BLU,,IL,10300 S. Doty,(773) 568-8495,2771965
09/07/2015,CHEV,2D,,RED,1441374B,IL,701 N. Sacramento,(773) 265-7605,6826315
09/07/2015,CHEV,4D,,RED,L9609647,IL,701 N. Sacramento,(773) 265-7605,6826284
09/07/2015,CHEV,4D,,BLU,5610142,IL,701 N. Sacramento,(773) 265-7605,6826289
09/07/2015,CHEV,4D,,BLK,R790376,IL,10300 S. Doty,(773) 568-8495,2771970
09/07/2015,CHEV,4D,,GRY,TVE605,NB,10300 S. Doty,(773) 568-8495,467679
09/07/2015,CHEV,4D,,GRY,K530517,IL,10300 S. Doty,(773) 568-8495,2771961
09/07/2015,CHEV,4D,,TAN,E380913,IL,701 N. Sacramento,(773) 265-7605,6826294
09/07/2015,CHEV,4D,,BRO,WB3676,MN,10300 S. Doty,(773) 568-8495,2771963
09/07/2015,CHEV,4D,,BLK,E220878,IL,400 E. Lower Wacker,(312) 744-7550,933954
09/07/2015,CHEV,4D,,TAN,Y752259,IL,10300 S. Doty,(773) 568-8495,2771985
09/07/2015,CHEV,4D,,TAN,S985298,IL,10300 S. Doty,(773) 568-8495,2771989
09/07/2015,CHEV,4D,,WHI,Y888859,IL,701 N. Sacramento,(773) 265-7605,6826310
09/07/2015,CHEV,4D,,MAR,L490607,IL,701 N. Sacramento,(773) 265-7605,6826330
09/07/2015,CHEV,4D,,GRN,,IL,10300 S. Doty,(773) 568-8495,2771987
09/07/2015,CHEV,LL,,WHI,E828335,IL,10300 S. Doty,(773) 568-8495,2771995
09/07/2015,CHEV,LL,,SIL,E214239,IL,701 N. Sacramento,(773) 265-7605,6826336
09/07/2015,CHEV,LL,,WHI,,IL,701 N. Sacramento,(773) 265-7605,6826323
09/07/2015,CHEV,LL,,GRY,9293AC,IL,10300 S. Doty,(773) 568-8495,467677
09/07/2015,CHEV,LL,,BLK,,IL,10300 S. Doty,(773) 568-8495,2771979
09/07/2015,CHEV,LL,,RED,80720YB,IL,10300 S. Doty,(773) 568-8495,2771990
09/07/2015,CHEV,VN,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6826340
09/07/2015,CHEV,VN,,WHI,V142858,IL,701 N. Sacramento,(773) 265-7605,6826327
09/07/2015,CHRY,2D,,BLK,E389333,IL,10300 S. Doty,(773) 568-8495,2771984
09/07/2015,CHRY,4D,,WHI,DBK5183,MI,701 N. Sacramento,(773) 265-7605,6826313
09/07/2015,CHRY,VN,TK,TAN,Y765594,IL,701 N. Sacramento,(773) 265-7605,6826321
09/07/2015,DODG,2D,,SIL,Y907005,IL,701 N. Sacramento,(773) 265-7605,6826342
09/07/2015,DODG,4D,,RED,E961257,IL,701 N. Sacramento,(773) 265-7605,6826307
09/07/2015,DODG,4D,,RED,E371743,IL,701 N. Sacramento,(773) 265-7605,6826295
09/07/2015,DODG,4D,,BLK,K627367,IL,701 N. Sacramento,(773) 265-7605,6826306
09/07/2015,DODG,LL,,ONG,E386685,IL,10300 S. Doty,(773) 568-8495,2771992
09/07/2015,DODG,VN,,BLU,R378863,IL,10300 S. Doty,(773) 568-8495,2771983
09/07/2015,DODG,VN,,BLK,E702356,IL,10300 S. Doty,(773) 568-8495,2771967
09/07/2015,DODG,VN,,GRN,E357242,IL,701 N. Sacramento,(773) 265-7605,6826326
09/07/2015,DODG,VN,,BLU,S447099,IL,10300 S. Doty,(773) 568-8495,2771953
09/07/2015,FORD,4D,,WHI,E351152,IL,400 E. Lower Wacker,(312) 744-7550,933966
09/07/2015,FORD,4D,,BLK,Y851206,IL,701 N. Sacramento,(773) 265-7605,6826334
09/07/2015,FORD,4D,,BLK,564DUU,MT,10300 S. Doty,(773) 568-8495,2771982
09/07/2015,FORD,4D,,WHI,E470619,IL,10300 S. Doty,(773) 568-8495,2771968
09/07/2015,FORD,4D,,GLD,E155931,IL,10300 S. Doty,(773) 568-8495,2771955
09/07/2015,FORD,4D,,TAN,,,701 N. Sacramento,(773) 265-7605,6826348
09/07/2015,FORD,LL,,RED,Y764823,IL,10300 S. Doty,(773) 568-8495,2771966
09/07/2015,FORD,LL,,GRN,884R594,IL,10300 S. Doty,(773) 568-8495,2771981
09/07/2015,FORD,VN,,TAN,Y738370,IL,10300 S. Doty,(773) 568-8495,2771952
09/07/2015,FORD,VN,,TAN,E745722,IL,10300 S. Doty,(773) 568-8495,2771957
09/07/2015,GMC,2H,,BLK,R450299,IL,701 N. Sacramento,(773) 265-7605,6826286
09/07/2015,GMC,4D,,GRY,383S277,IL,10300 S. Doty,(773) 568-8495,2771951
09/07/2015,GMC,LL,TK,SIL,V524249,IL,10300 S. Doty,(773) 568-8495,2771972
09/07/2015,HOND,2D,,BLK,E276682,IL,10300 S. Doty,(773) 568-8495,2771997
09/07/2015,HOND,4D,,GRY,P852116,IL,10300 S. Doty,(773) 568-8495,2771994
09/07/2015,HOND,4D,,GRY,X882477,IL,10300 S. Doty,(773) 568-8495,467682
09/07/2015,HOND,LL,,SIL,E881405,IL,701 N. Sacramento,(773) 265-7605,6826329
09/07/2015,HUMM,4D,,BLK,R226738,IL,701 N. Sacramento,(773) 265-7605,6826308
09/07/2015,HYUN,4D,,GRY,E673123,IL,10300 S. Doty,(773) 568-8495,2771991
09/07/2015,HYUN,4D,,BLU,L374544,IL,10300 S. Doty,(773) 568-8495,2771986
09/07/2015,HYUN,4D,,SIL,Y714356,IL,701 N. Sacramento,(773) 265-7605,6826292
09/07/2015,HYUN,4D,,SIL,,IL,701 N. Sacramento,(773) 265-7605,6826341
09/07/2015,INFI,4D,,RED,,IL,10300 S. Doty,(773) 568-8495,2771977
09/07/2015,ISU,LL,,BLU,1332213,IL,10300 S. Doty,(773) 568-8495,2771950
09/07/2015,JEEP,LL,,GRN,Y928461,IL,701 N. Sacramento,(773) 265-7605,6826324
09/07/2015,KIA,LL,,WHI,X419177,IL,10300 S. Doty,(773) 568-8495,2771954
09/07/2015,LEXS,4D,,SIL,E145739,IL,10300 S. Doty,(773) 568-8495,2771958
09/07/2015,LEXS,4D,,TAN,V617919,IL,10300 S. Doty,(773) 568-8495,2772001
09/07/2015,MAZD,4D,,GRY,DL5058,IL,701 N. Sacramento,(773) 265-7605,6826316
09/07/2015,MERC,4D,,WHI,Z289948,IL,701 N. Sacramento,(773) 265-7605,6826291
09/07/2015,MERC,LL,,BLK,2449912,IL,701 N. Sacramento,(773) 265-7605,6826285
09/07/2015,MERZ,LL,,WHI,Y878606,IL,10300 S. Doty,(773) 568-8495,467681
09/07/2015,NISS,4D,,BLK,R813024,IL,701 N. Sacramento,(773) 265-7605,6826309
09/07/2015,NISS,4D,,GRY,V983097,IL,701 N. Sacramento,(773) 265-7605,6826322
09/07/2015,NISS,4D,,BLK,498GSC,KS,10300 S. Doty,(773) 568-8495,2771960
09/07/2015,NISS,4D,,WHI,Z132806,IL,701 N. Sacramento,(773) 265-7605,6826319
09/07/2015,OLDS,4D,,TAN,CXW988,IA,701 N. Sacramento,(773) 265-7605,6826345
09/07/2015,OLDS,VN,,GRY,271S598,IL,701 N. Sacramento,(773) 265-7605,6826288
09/07/2015,OLDS,VN,,GRN,K314157,IL,701 N. Sacramento,(773) 265-7605,6826314
09/07/2015,PONT,4D,,MAR,E394220,IL,10300 S. Doty,(773) 568-8495,2771956
09/07/2015,PONT,4D,,GRY,,IL,701 N. Sacramento,(773) 265-7605,6826331
09/07/2015,PONT,4D,,RED,V604576,IL,10300 S. Doty,(773) 568-8495,2771996
09/07/2015,PONT,4D,,RED,E596797,IL,10300 S. Doty,(773) 568-8495,467678
09/07/2015,PONT,VN,,MAR,E441127,IL,701 N. Sacramento,(773) 265-7605,6826332
09/07/2015,SAA,4D,,SIL,P716529,IL,701 N. Sacramento,(773) 265-7605,6826335
09/07/2015,SAA,4D,,GRY,E991930,IL,400 E. Lower Wacker,(312) 744-7550,933932
09/07/2015,TOYT,2D,,SIL,,IL,10300 S. Doty,(773) 568-8495,2771971
09/07/2015,TOYT,4D,,BLK,Y874012,IL,701 N. Sacramento,(773) 265-7605,6826293
09/07/2015,TOYT,4D,,BLU,E560561,IL,701 N. Sacramento,(773) 265-7605,6826312
09/07/2015,TOYT,4D,,GRN,E650405,IL,701 N. Sacramento,(773) 265-7605,6826337
09/07/2015,TOYT,LL,,TAN,,IL,10300 S. Doty,(773) 568-8495,2771978
09/07/2015,TOYT,SD,,GRN,6575238,IL,10300 S. Doty,(773) 568-8495,2771976
09/07/2015,TOYT,VN,,LBL,8135032,IL,701 N. Sacramento,(773) 265-7605,6826287
09/07/2015,VOLV,SW,,WHI,DFV2974,NC,701 N. Sacramento,(773) 265-7605,6826301
09/07/2015,ZCZY,MC,,YEL,9040,WI,701 N. Sacramento,(773) 265-7605,6826296
09/07/2015,,MC,,BLK,,IL,701 N. Sacramento,(773) 265-7605,6826344
09/06/2015,ACUR,4D,,GRY,MURABU,IL,701 N. Sacramento,(773) 265-7605,6826241
09/06/2015,ACUR,4D,,WHI,238S009,IL,10300 S. Doty,(773) 568-8495,2771911
09/06/2015,BUIC,4D,,GRY,2113170,IL,701 N. Sacramento,(773) 265-7605,6826242
09/06/2015,BUIC,4D,,TAN,Y706225,IL,701 N. Sacramento,(773) 265-7605,6826279
09/06/2015,BUIC,4D,,TAN,387S048,IL,10300 S. Doty,(773) 568-8495,2771920
09/06/2015,BUIC,4D,,RED,Y753466,IL,10300 S. Doty,(773) 568-8495,2771937
09/06/2015,CADI,4D,,SIL,E795863,IL,701 N. Sacramento,(773) 265-7605,6826283
09/06/2015,CADI,4D,,WHI,S497961,IL,10300 S. Doty,(773) 568-8495,2771917
09/06/2015,CHEV,2D,,RED,L857435,IL,10300 S. Doty,(773) 568-8495,2771945
09/06/2015,CHEV,4D,,GRN,E379100,IL,10300 S. Doty,(773) 568-8495,2771942
